DOI,omid
10.1145/332040.332042,br/06803797061
10.1145/332040.332044,br/06803796940
10.1145/332040.332047,br/061503393214
10.1145/332040.332403,br/06703788710
10.1145/332040.332404,br/061103399193
10.1145/332040.332405,br/06703788484
10.1145/332040.332406,br/061103399198
10.1145/332040.332407,br/061503393196
10.1145/332040.332408,br/061403372517
10.1145/332040.332409,br/061203385941
10.1145/332040.332410,br/061203385705
10.1145/332040.332411,br/061403372651
10.1145/332040.332412,br/06803797790
10.1145/332040.332413,br/061103399260
10.1145/332040.332414,br/061403372288
10.1145/332040.332415,br/06903412348
10.1145/332040.332416,br/061503393137
10.1145/332040.332417,br/061703399015
10.1145/332040.332418,br/061103399199
10.1145/332040.332419,br/061403372013
10.1145/332040.332423,br/061103399307
10.1145/332040.332425,br/061303376665
10.1145/332040.332427,br/061703399545
10.1145/332040.332428,br/06803796951
10.1145/332040.332430,br/061503393120
10.1145/332040.332432,br/061503393184
10.1145/332040.332433,br/061203385880
10.1145/332040.332434,br/061203385776
10.1145/332040.332435,br/061103398775
10.1145/332040.332437,br/061703399020
10.1145/365024.365027,br/061403372340
10.1145/365024.365028,br/061203385923
10.1145/365024.365030,br/061403372275
10.1145/365024.365031,br/061403372309
10.1145/365024.365032,br/061203385856
10.1145/365024.365033,br/061103399297
10.1145/365024.365034,br/061703391392
10.1145/365024.365035,br/061403372189
10.1145/365024.365037,br/06803797104
10.1145/365024.365038,br/061303376857
10.1145/365024.365047,br/061103399182
10.1145/365024.365051,br/06803797099
10.1145/365024.365054,br/061203385781
10.1145/365024.365056,br/061203908367
10.1145/365024.365060,br/061403372208
10.1145/365024.365061,br/061703391517
10.1145/365024.365064,br/061703399157
10.1145/365024.365069,br/061303377171
10.1145/365024.365073,br/061503393143
10.1145/365024.365077,br/06703788136
10.1145/365024.365078,br/06703788725
10.1145/365024.365090,br/061703399075
10.1145/365024.365092,br/061703399192
10.1145/365024.365094,br/06903412077
10.1145/365024.365096,br/061103399285
10.1145/365024.365097,br/061403372365
10.1145/365024.365098,br/061503393272
10.1145/365024.365100,br/061303376864
10.1145/365024.365102,br/061703399150
10.1145/365024.365105,br/061503393101
10.1145/503376.503378,br/06402051768
10.1145/503376.503379,br/06103811766
10.1145/503376.503381,br/06402051467
10.1145/503376.503382,br/06403800279
10.1145/503376.503383,br/062603402401
10.1145/503376.503385,br/06603794941
10.1145/503376.503386,br/06402051792
10.1145/503376.503388,br/062603402435
10.1145/503376.503389,br/06303800842
10.1145/503376.503390,br/06503809880
10.1145/503376.503392,br/06103811263
10.1145/503376.503393,br/06402051777
10.1145/503376.503394,br/06503809991
10.1145/503376.503396,br/06403800193
10.1145/503376.503397,br/06303800924
10.1145/503376.503398,br/06203799636
10.1145/503376.503400,br/06303801517
10.1145/503376.503401,br/06503810153
10.1145/503376.503402,br/06503809871
10.1145/503376.503404,br/06403799682
10.1145/503376.503405,br/062603402441
10.1145/503376.503406,br/06703779874
10.1145/503376.503408,br/06603794907
10.1145/503376.503409,br/06203799388
10.1145/503376.503410,br/06402052004
10.1145/503376.503412,br/06203799761
10.1145/503376.503413,br/062603402492
10.1145/503376.503414,br/06603794445
10.1145/503376.503416,br/06103811485
10.1145/503376.503418,br/062603402136
10.1145/503376.503419,br/06502045737
10.1145/503376.503420,br/06203799448
10.1145/503376.503422,br/06603794403
10.1145/503376.503423,br/06203799753
10.1145/503376.503424,br/06603795129
10.1145/503376.503426,br/06603794800
10.1145/503376.503427,br/06402052058
10.1145/503376.503428,br/06403799950
10.1145/503376.503430,br/06203799647
10.1145/503376.503431,br/062603402188
10.1145/503376.503433,br/06303800871
10.1145/503376.503434,br/06402051279
10.1145/503376.503435,br/06103811116
10.1145/503376.503437,br/06303801096
10.1145/503376.503438,br/06503809358
10.1145/503376.503439,br/062603402461
10.1145/503376.503441,br/06402052103
10.1145/503376.503442,br/06603794923
10.1145/503376.503444,br/06403799854
10.1145/503376.503445,br/06603794795
10.1145/503376.503446,br/06603795054
10.1145/503376.503448,br/06203799645
10.1145/503376.503449,br/06503810000
10.1145/503376.503450,br/06303801006
10.1145/503376.503452,br/06403799533
10.1145/503376.503454,br/06703779914
10.1145/503376.503455,br/06403799852
10.1145/503376.503456,br/06203799449
10.1145/503376.503458,br/06603795285
10.1145/503376.503459,br/06503809203
10.1145/503376.503460,br/06603794991
10.1145/642611.642613,br/06203799087
10.1145/642611.642615,br/06603794784
10.1145/642611.642616,br/062603402538
10.1145/642611.642618,br/06303801623
10.1145/642611.642619,br/062603402398
10.1145/642611.642620,br/06303801260
10.1145/642611.642622,br/06503810142
10.1145/642611.642623,br/06603794903
10.1145/642611.642624,br/06402052038
10.1145/642611.642626,br/06303801059
10.1145/642611.642627,br/06703780025
10.1145/642611.642628,br/062603402137
10.1145/642611.642630,br/06402051871
10.1145/642611.642631,br/06703780141
10.1145/642611.642632,br/06103811293
10.1145/642611.642634,br/06402051725
10.1145/642611.642635,br/06603795135
10.1145/642611.642636,br/06503810157
10.1145/642611.642638,br/06603794997
10.1145/642611.642639,br/06503810169
10.1145/642611.642641,br/06203799506
10.1145/642611.642642,br/06703780444
10.1145/642611.642644,br/06402051721
10.1145/642611.642645,br/06502045751
10.1145/642611.642646,br/06503809310
10.1145/642611.642648,br/06203799379
10.1145/642611.642649,br/06402051829
10.1145/642611.642650,br/06402052020
10.1145/642611.642652,br/06402052032
10.1145/642611.642653,br/06402051856
10.1145/642611.642654,br/06703779916
10.1145/642611.642656,br/06402051446
10.1145/642611.642657,br/06603795036
10.1145/642611.642658,br/062603402248
10.1145/642611.642660,br/06203799757
10.1145/642611.642661,br/06603794877
10.1145/642611.642662,br/06402051935
10.1145/642611.642664,br/06402051770
10.1145/642611.642665,br/06703779903
10.1145/642611.642666,br/06703780483
10.1145/642611.642668,br/06603794456
10.1145/642611.642669,br/06403799694
10.1145/642611.642670,br/06303801165
10.1145/642611.642672,br/06503810154
10.1145/642611.642673,br/06503810168
10.1145/642611.642674,br/062603402471
10.1145/642611.642676,br/06502045816
10.1145/642611.642677,br/06503809680
10.1145/642611.642678,br/06402051911
10.1145/642611.642680,br/06103811191
10.1145/642611.642681,br/06703779924
10.1145/642611.642682,br/06402052005
10.1145/642611.642684,br/06403799318
10.1145/642611.642686,br/06503810051
10.1145/642611.642687,br/06603794926
10.1145/642611.642688,br/06603795113
10.1145/642611.642690,br/062603402329
10.1145/642611.642691,br/06103811680
10.1145/642611.642692,br/06402051529
10.1145/642611.642694,br/06303800998
10.1145/642611.642695,br/062603402362
10.1145/642611.642697,br/06503810160
10.1145/642611.642698,br/06203799450
10.1145/642611.642699,br/06203799067
10.1145/642611.642701,br/06503809309
10.1145/642611.642702,br/06402051593
10.1145/642611.642703,br/06103811324
10.1145/642611.642705,br/06403799951
10.1145/642611.642706,br/06402052010
10.1145/642611.642707,br/06603794932
10.1145/642611.642709,br/06203799646
10.1145/642611.642710,br/06203799728
10.1145/642611.642711,br/06402052048
10.1145/642611.642713,br/06603794987
10.1145/642611.642714,br/06603794913
10.1145/985692.985693,br/062303370435
10.1145/985692.985694,br/062303370501
10.1145/985692.985695,br/062403362563
10.1145/985692.985696,br/062203369301
10.1145/985692.985697,br/062303370887
10.1145/985692.985698,br/062403363350
10.1145/985692.985699,br/062503362801
10.1145/985692.985700,br/062303371292
10.1145/985692.985701,br/062503363520
10.1145/985692.985702,br/062603395735
10.1145/985692.985703,br/062203369294
10.1145/985692.985704,br/062503363141
10.1145/985692.985705,br/062503363456
10.1145/985692.985706,br/062303371038
10.1145/985692.985707,br/062503362744
10.1145/985692.985708,br/062403362910
10.1145/985692.985709,br/062303370500
10.1145/985692.985710,br/062503362661
10.1145/985692.985711,br/062603395817
10.1145/985692.985712,br/062403362935
10.1145/985692.985713,br/062603395749
10.1145/985692.985714,br/062303370525
10.1145/985692.985715,br/062303370899
10.1145/985692.985716,br/062503363465
10.1145/985692.985717,br/062303370767
10.1145/985692.985718,br/062503362902
10.1145/985692.985719,br/062303371036
10.1145/985692.985720,br/062403363353
10.1145/985692.985721,br/062503363099
10.1145/985692.985722,br/062303370649
10.1145/1054972.1054974,br/061703367138
10.1145/1054972.1054975,br/061503361651
10.1145/1054972.1054976,br/061403340797
10.1145/1054972.1054978,br/061603367910
10.1145/1054972.1054979,br/061603367996
10.1145/1054972.1054980,br/061603367692
10.1145/1054972.1054982,br/061703367468
10.1145/1054972.1054983,br/061703367106
10.1145/1054972.1054985,br/061403339985
10.1145/1054972.1054986,br/061703367497
10.1145/1054972.1054987,br/061603367841
10.1145/1054972.1054989,br/061603367813
10.1145/1054972.1054990,br/061303344916
10.1145/1054972.1054991,br/061303344965
10.1145/1054972.1054993,br/061603367573
10.1145/1054972.1054994,br/061703367125
10.1145/1054972.1054995,br/061603368046
10.1145/1054972.1054997,br/061603367137
10.1145/1054972.1054998,br/061303345203
10.1145/1054972.1054999,br/061303344921
10.1145/1054972.1055001,br/061703367377
10.1145/1054972.1055002,br/061603367836
10.1145/1054972.1055004,br/061503361692
10.1145/1054972.1055005,br/061303345334
10.1145/1054972.1055006,br/061603367960
10.1145/1054972.1055008,br/061403340364
10.1145/1054972.1055009,br/061603367974
10.1145/1054972.1055010,br/061603368045
10.1145/1054972.1055012,br/061603367617
10.1145/1054972.1055013,br/061703367096
