citing,papers_omid_for_citing,cited,papers_omid_for_cited
br/0620182831,br/0620182831,br/060642361,
br/0602496,,br/061502990440,br/061502990440
br/0602496,,br/061503361197,br/061503361197
br/0602466,,br/062102462229,br/062102462229
br/0602456,,br/061402995856,br/061402995856
br/0602448,,br/062203179038,br/062203179038
br/0602445,,br/062503170814,br/062503170814
br/0602429,,br/062602996203,br/062602996203
br/0602222,,br/061203242470,br/061203242470
br/0602090,,br/0620182943,br/0620182943
br/0602026,,br/061502502735,br/061502502735
br/0601874,,br/06103645993,br/06103645993
br/060952,,br/061402995851,br/061402995851
br/060952,,br/061402995720,br/061402995720
br/060941,,br/061203264905,br/061203264905
br/060941,,br/062603402362,br/062603402362
br/060941,,br/06101954014,br/06101954014
br/060941,,br/062503231118,br/062503231118
br/060941,,br/06101953437,br/06101953437
br/060941,,br/06803302894,br/06803302894
br/060762,,br/061502990029,br/061502990029
br/062301756720,,br/062503138817,br/062503138817
br/06140730082,,br/062503138985,br/062503138985
br/06140730082,,br/062503139313,br/062503139313
br/06503881927,,br/06202880891,br/06202880891
br/06503881927,,br/062202938500,br/062202938500
br/06503881927,,br/062503139410,br/062503139410
br/061903343563,,br/06902916044,br/06902916044
br/061903343563,,br/062402985562,br/062402985562
br/061103546041,,br/06603312066,br/06603312066
br/06220589817,,br/061403129104,br/061403129104
br/061803508088,,br/06603312065,br/06603312065
br/061803508088,,br/06802909999,br/06802909999
br/06401274182,,br/06101953617,br/06101953617
br/06401274182,,br/061403326810,br/061403326810
br/062601714775,,br/0630183881,br/0630183881
br/06203566142,,br/061202495255,br/061202495255
br/06203566150,,br/062503138993,br/062503138993
br/062203145123,,br/06803303360,br/06803303360
br/06150713906,,br/061403129444,br/061403129444
br/0640151569,,br/0630184086,br/0630184086
br/06803957168,,br/06902522074,br/06902522074
br/06701774474,,br/06603312082,br/06603312082
br/06701774474,,br/061502990515,br/061502990515
br/06701774454,,br/06802910328,br/06802910328
br/06701774468,,br/061202495031,br/061202495031
br/06701774464,,br/0620182828,br/0620182828
br/06701774607,,br/06202880231,br/06202880231
br/06701774607,,br/06101953617,br/06101953617
br/06701774598,,br/062503170535,br/062503170535
br/06701774620,,br/06603794991,br/06603794991
br/06701774599,,br/062503170270,br/062503170270
br/06701774625,,br/06603312082,br/06603312082
br/06160397777,,br/062202938210,br/062202938210
br/0636019487,,br/06202109854,br/06202109854
br/06701774632,,br/06102894992,br/06102894992
br/06701774570,,br/06803303034,br/06803303034
br/06701774570,,br/06103645994,br/06103645994
br/06701774615,,br/06103646234,br/06103646234
br/06701774510,,br/06903290780,br/06903290780
br/06701774490,,br/061502990375,br/061502990375
br/06701774490,,br/06101953614,br/06101953614
br/06701774575,,br/061702498959,br/061702498959
br/06701774575,,br/061403326037,br/061403326037
br/06701774584,,br/062603402538,br/062603402538
br/06303530370,,br/06603794987,br/06603794987
br/06260695142,,br/0630184413,br/0630184413
br/06260695142,,br/0630184121,br/0630184121
br/06260695142,,br/0620182835,br/0620182835
br/06260695142,,br/062102462131,br/062102462131
br/06901622623,,br/06802910392,br/06802910392
br/06220589807,,br/06902522051,br/06902522051
br/062301756719,,br/06803303336,br/06803303336
br/062301756719,,br/062503170270,br/062503170270
br/062301756719,,br/06603312083,br/06603312083
br/061902615860,,br/061503348306,br/061503348306
br/06501731886,,br/061402276871,br/061402276871
br/061901487695,,br/06603348739,br/06603348739
br/061901487695,,br/062503231357,br/062503231357
br/061901487695,,br/061102305439,br/061102305439
br/061103546024,,br/062503139439,br/062503139439
br/0690912027,,br/0630184090,br/0630184090
br/061603081765,,br/0650184732,br/0650184732
br/06130322683,,br/06202880146,br/06202880146
br/061301505071,,br/062503138836,br/062503138836
br/061802343045,,br/061503151325,br/061503151325
br/06602729738,,br/06202880527,br/06202880527
br/06602729738,,br/062102462174,br/062102462174
br/06602729745,,br/062202938306,br/062202938306
br/061802342968,,br/06101953614,br/06101953614
br/06602729857,,br/06103645507,br/06103645507
br/06602729857,,br/061403326097,br/061403326097
br/06602729793,,br/06903016309,br/06903016309
br/06602729801,,br/06302116261,br/06302116261
br/06602729784,,br/062503139067,br/062503139067
br/06602729800,,br/06202880221,br/06202880221
br/06602729800,,br/06102894849,br/06102894849
br/062401996496,,br/062203219690,br/062203219690
br/06102152835,,br/061203264704,br/061203264704
br/061901886798,,br/06902915739,br/06902915739
br/063308257,,br/06101953737,br/06101953737
br/063308257,,br/06202880314,br/06202880314
br/063308257,,br/061702498549,br/061702498549
br/063308257,,br/062503170755,br/062503170755
br/062089299,,br/0630184412,br/0630184412
br/061901487764,,br/061403326320,br/061403326320
br/0627034562,,br/061202494927,br/061202494927
br/0627034562,,br/062202938278,br/062202938278
br/061701766683,,br/06603312066,br/06603312066
br/06501605283,,br/061202495112,br/061202495112
br/06501605357,,br/0630184121,br/0630184121
br/06501605356,,br/06903290424,br/06903290424
br/061701766689,,br/062503363520,br/062503363520
br/061801710177,,br/0640187780,br/0640187780
br/06501605300,,br/062503170452,br/062503170452
br/06501605299,,br/062503170452,br/062503170452
br/06501605371,,br/06303564711,br/06303564711
br/06160225420,,br/062503138660,br/062503138660
br/06160225420,,br/062503231017,br/062503231017
br/06160225420,,br/06102894825,br/06102894825
br/06160225419,,br/061702498959,br/061702498959
br/06160225419,,br/06201938897,br/06201938897
br/062201881623,,br/06202880515,br/06202880515
br/062201881623,,br/061403372166,br/061403372166
br/06902353487,,br/06102894838,br/06102894838
br/06902353487,,br/06303564372,br/06303564372
br/061403280942,,br/0630183613,br/0630183613
br/061901487763,,br/062202938320,br/062202938320
br/061901487763,,br/0630184366,br/0630184366
br/06303177492,,br/062503170443,br/062503170443
br/06303177492,,br/06102894840,br/06102894840
br/06502219303,,br/062503170624,br/062503170624
br/06502219303,,br/06103645539,br/06103645539
br/06102116920,,br/062102462175,br/062102462175
br/06102116920,,br/06603311934,br/06603311934
br/06102116920,,br/061502990127,br/061502990127
br/06102116920,,br/06202881026,br/06202881026
br/06102116920,,br/06202880375,br/06202880375
br/06102116920,,br/061702498363,br/061702498363
br/06102117191,,br/061203264676,br/061203264676
br/06102117646,,br/061202495323,br/061202495323
br/06102117727,,br/06202880493,br/06202880493
br/06102117727,,br/06902522052,br/06902522052
br/06102117727,,br/061502990078,br/061502990078
br/06102117727,,br/061502990504,br/061502990504
br/06102117727,,br/062202938513,br/062202938513
br/06102117727,,br/06902915736,br/06902915736
br/06102117727,,br/06303801059,br/06303801059
br/06102117322,,br/06802910324,br/06802910324
br/061301789676,,br/06202881039,br/06202881039
br/061301789676,,br/061502990030,br/061502990030
br/06102117527,,br/062102462129,br/062102462129
br/06102117527,,br/06803303304,br/06803303304
br/06102117527,,br/06202880292,br/06202880292
br/06102117527,,br/06202880314,br/06202880314
br/06102117527,,br/061402277501,br/061402277501
br/0612096289,,br/062202938353,br/062202938353
br/06102117382,,br/06202880900,br/06202880900
br/06102117382,,br/06802909942,br/06802909942
br/06102117382,,br/06101953730,br/06101953730
br/06102117000,,br/06801939352,br/06801939352
br/062602418427,,br/061203210398,br/061203210398
br/062602418427,,br/06503357809,br/06503357809
br/062602418427,,br/061303231873,br/061303231873
br/062602418427,,br/0630183534,br/0630183534
br/062602418427,,br/061203242238,br/061203242238
br/062602418427,,br/061203210431,br/061203210431
br/062602418427,,br/06102761956,br/06102761956
br/06502111417,,br/06202880514,br/06202880514
br/06502110590,,br/06202880514,br/06202880514
br/06502110620,,br/06202880514,br/06202880514
br/06502110887,,br/06202880514,br/06202880514
br/06502110765,,br/062102462321,br/062102462321
br/06402115988,,br/06202880514,br/06202880514
br/06502111146,,br/06202880514,br/06202880514
br/06302101849,,br/06202880514,br/06202880514
br/06702298202,,br/061302296903,br/061302296903
br/06602100374,,br/06202880514,br/06202880514
br/06602100468,,br/06202880514,br/06202880514
br/06602100444,,br/06202880514,br/06202880514
br/06602100260,,br/06202880514,br/06202880514
br/06502481685,,br/06202880514,br/06202880514
br/0660192895,,br/061403129021,br/061403129021
br/0660192895,,br/06102894853,br/06102894853
br/06402379473,,br/061502990366,br/061502990366
br/06402379473,,br/06101953604,br/06101953604
br/06302101004,,br/061403129527,br/061403129527
br/06401645425,,br/062503170265,br/062503170265
br/062602161534,,br/061403326825,br/061403326825
br/062602161529,,br/06101953149,br/06101953149
br/06302099503,,br/06603312032,br/06603312032
br/06302099324,,br/062202938502,br/062202938502
br/06302099440,,br/062102462321,br/062102462321
br/06302099440,,br/06802909922,br/06802909922
br/06302099440,,br/06802910407,br/06802910407
br/06302099440,,br/061502990449,br/061502990449
br/06302099114,,br/062102462188,br/062102462188
br/06302099192,,br/062302941720,br/062302941720
br/062201916928,,br/06603311884,br/06603311884
br/06702954757,,br/062203219692,br/062203219692
br/062602663037,,br/06103645997,br/06103645997
br/062302623443,,br/062503170467,br/062503170467
br/061703492576,,br/062103173309,br/062103173309
br/061703492574,,br/062503231692,br/062503231692
br/061703492574,,br/061203264696,br/061203264696
br/062602663144,,br/062503231692,br/062503231692
br/062602663144,,br/061203264696,br/061203264696
br/061102666724,,br/061603368009,br/061603368009
br/062602663152,,br/062103173309,br/062103173309
br/061703492554,,br/062503170467,br/062503170467
br/061902455591,,br/061502990079,br/061502990079
br/061902455591,,br/062303370525,br/062303370525
