id,name,upper_category_id,year
1,CHI,,2000
2,CHI,,2001
3,CHI,,2002
4,SESSION: Contextual Displays,3,2002
5,SESSION: Input Devices,3,2002
6,SESSION: Gaze,3,2002
7,SESSION: Input: Smooth Moves,3,2002
8,SESSION: Structure and Flow,3,2002
9,SESSION: Two-Handed Interaction,3,2002
10,SESSION: Confidence and Trust,3,2002
11,SESSION: Controlling Complexity,3,2002
12,"SESSION: I Think, therefore IM",3,2002
13,SESSION: Spatial Cognition,3,2002
14,SESSION: Technology to help poeple find information,3,2002
15,SESSION: Web Behavior Patterns,3,2002
16,SESSION: Focue and Context,3,2002
17,"SESSION: Speech, Audio, Gesture",3,2002
18,SESSION: Interactive Design,3,2002
19,SESSION: Collaborative Filtering,3,2002
20,SESSION: Hands-On Interfaces,3,2002
21,SESSION: Web Site Analysis,3,2002
22,SESSION: Communities and Organizations,3,2002
23,SESSION: Ubiquity,3,2002
24,SESSION: Visualizing Patterns,3,2002
25,SESSION: Group Spaces,3,2002
26,SESSION: Design Methods,3,2002
27,CHI,,2003
28,DEMONSTRATION SESSION: Interaction techniques for handheld devices,27,2003
29,SESSION: Domesticated design,27,2003
30,SESSION: Accessibility interfaces,27,2003
31,SESSION: Sharable displays,27,2003
32,SESSION: New techniques for presenting instructions and transcripts,27,2003
33,SESSION: Input interaction,27,2003
34,SESSION: Privacy and trust,27,2003
35,SESSION: Usability of large scale public systems,27,2003
36,SESSION: Peripheral and ambient displays,27,2003
37,SESSION: Pointing and manipulation,27,2003
38,SESSION: Large displays,27,2003
39,SESSION: Designing design,27,2003
40,SESSION: Modeling user behavior,27,2003
41,SESSION: Digital sociability,27,2003
42,SESSION: Issues in software development,27,2003
43,SESSION: Designing applications for handheld devices,27,2003
44,SESSION: Integrating tools and tasks,27,2003
45,"SESSION: Techniques for on-screen shapes, text and handwriting",27,2003
46,SESSION: Searching and organizing,27,2003
47,SESSION: Psychology and physiology,27,2003
48,SESSION: Design for the socially mobile,27,2003
49,DEMONSTRATION SESSION: Camera-based input and video techniques,27,2003
50,DEMONSTRATION SESSION: Interaction techniques for constrained Ddsplays,27,2003
51,SESSION: Web usability,27,2003
52,SESSION: New directions in video conferencing,27,2003
53,SESSION: Between u and i,27,2003
54,SESSION: People at leisure: social mixed reality,27,2003
55,SESSION: Recommender systems and social computing,27,2003
56,CHI,,2004
57,CHI,,2005
58,SESSION: Large communities,57,2005
59,SESSION: Web interactions,57,2005
60,SESSION: Basic level interaction techniques,57,2005
61,SESSION: Privacy 1,57,2005
62,SESSION: Document interaction,57,2005
63,SESSION: Eyes on interaction,57,2005
64,SESSION: Personal technologies,57,2005
65,SESSION: Small devices 1,57,2005
66,SESSION: Eye gaze and multimodal integration patterns,57,2005
67,SESSION: Touch & such,57,2005
68,SESSION: Smart interaction techniques 1,57,2005
69,"SESSION: Take a number, stand in line (interruptions & attention 1)",57,2005
70,SESSION: Design thoughts & methods,57,2005
71,SESSION: Smart interaction techniques 2,57,2005
72,SESSION: Methods & usability,57,2005
73,SESSION: Interactive information visualization,57,2005
74,SESSION: Pen-based interfaces,57,2005
75,SESSION: Affect and intimacy,57,2005
76,SESSION: Assistive applications,57,2005
77,SESSION: Educational & help systems,57,2005
78,SESSION: In-vehicle interfaces,57,2005
79,SESSION: Physical interaction,57,2005
80,SESSION: Technology in the home,57,2005
81,SESSION: Safety in a complex world,57,2005
82,SESSION: Small devices 2,57,2005
83,SESSION: Email and security,57,2005
84,SESSION: Public life,57,2005
85,SESSION: Social behaviors,57,2005
86,SESSION: Display,57,2005
87,SESSION: Enhancing virtual spaces and large displays,57,2005
88,SESSION: Look,57,2005
89,SESSION: Papers on presenting papers,57,2005
90,SESSION: Designing for and with kids,57,2005
91,SESSION: Educational issues,57,2005
92,SESSION: Understanding users and usage patterns,57,2005
93,SESSION: Interruptions and attention 2: attending to interruptions,57,2005
94,CHI,,2006
95,SESSION: Navigation,94,2006
96,SESSION: Mobile surfing and effects of wearables,94,2006
97,SESSION: Games,94,2006
98,SESSION: Privacy 1,94,2006
99,SESSION: Social computing 1,94,2006
100,SESSION: Participatory design,94,2006
101,SESSION: Interaction techniques: haptic and gestural,94,2006
102,SESSION: Activity: design implications,94,2006
103,SESSION: End user programming,94,2006
104,SESSION: Personal information management,94,2006
105,SESSION: Multidisplay environments,94,2006
106,SESSION: Managing voice input,94,2006
107,SESSION: Interaction methods,94,2006
108,SESSION: Understanding programs and interfaces,94,2006
109,SESSION: Games and performances,94,2006
110,SESSION: Designing for tangible interactions,94,2006
111,SESSION: Text input,94,2006
112,SESSION: Visualization and search,94,2006
113,SESSION: Design: creative and historical perspectives,94,2006
114,SESSION: Information handling,94,2006
115,SESSION: Security,94,2006
116,SESSION: Automatic generation and usability,94,2006
117,SESSION: Media,94,2006
118,SESSION: Ubiquitous computing,94,2006
119,SESSION: Search and navigation: mobiles and audio,94,2006
120,SESSION: Using knowledge to predict and manage,94,2006
121,SESSION: Collecting and editing photos,94,2006
